epoch,loss,validity
1,0.3109,1.0
2,0.3109,
3,0.3131,
4,0.3101,
5,0.3072,
6,0.3058,
7,0.3118,
8,0.3081,
9,0.3049,
10,0.3065,
11,0.3069,1.0
12,0.3032,
13,0.3060,
14,0.3024,
15,0.3027,
16,0.3059,
17,0.3046,
18,0.3077,
19,0.3037,
20,0.3048,
21,0.3024,0.98
22,0.3016,
23,0.3031,
24,0.2974,
25,0.3017,
26,0.3068,
27,0.3054,
28,0.3005,
29,0.3059,
30,0.3023,
31,0.3006,0.96
32,0.2998,
33,0.2986,
34,0.3019,
35,0.3009,
36,0.3042,
37,0.3054,
38,0.2993,
39,0.3026,
40,0.3009,
41,0.3014,0.92
42,0.3010,
43,0.3030,
44,0.3001,
45,0.3018,
46,0.3045,
47,0.3017,
48,0.2992,
49,0.3038,
50,0.2981,0.92
