Test Tanimoto: 0.1762
Epoch 1: loss=0.6896
Epoch 2: loss=0.6659
Epoch 3: loss=0.5582
Epoch 4: loss=0.3345
Epoch 5: loss=0.1766
Epoch 6: loss=0.1289
Epoch 7: loss=0.1155
Epoch 8: loss=0.1099
Epoch 9: loss=0.1068
Epoch 10: loss=0.1048
Epoch 11: loss=0.1032
Epoch 12: loss=0.1019
Epoch 13: loss=0.1008
Epoch 14: loss=0.0998
Epoch 15: loss=0.0989
Epoch 16: loss=0.0980
Epoch 17: loss=0.0972
Epoch 18: loss=0.0964
Epoch 19: loss=0.0956
Epoch 20: loss=0.0949
Epoch 21: loss=0.0942
Epoch 22: loss=0.0935
Epoch 23: loss=0.0928
Epoch 24: loss=0.0922
Epoch 25: loss=0.0916
Epoch 26: loss=0.0910
Epoch 27: loss=0.0905
Epoch 28: loss=0.0901
Epoch 29: loss=0.0896
Epoch 30: loss=0.0892
Epoch 31: loss=0.0888
Epoch 32: loss=0.0884
Epoch 33: loss=0.0881
Epoch 34: loss=0.0878
Epoch 35: loss=0.0875
Epoch 36: loss=0.0872
Epoch 37: loss=0.0870
Epoch 38: loss=0.0867
Epoch 39: loss=0.0865
Epoch 40: loss=0.0863
Epoch 41: loss=0.0861
Epoch 42: loss=0.0859
Epoch 43: loss=0.0857
Epoch 44: loss=0.0856
Epoch 45: loss=0.0854
Epoch 46: loss=0.0853
Epoch 47: loss=0.0851
Epoch 48: loss=0.0850
Epoch 49: loss=0.0849
Epoch 50: loss=0.0848
